Edition	Country	MedalCount
1900	FRA	185
1904	FRA	0
1908	FRA	35
1912	FRA	25
1920	FRA	141
1924	FRA	122
1928	FRA	36
1932	FRA	37
1936	FRA	43
1948	FRA	68
1952	FRA	39
1956	FRA	32
1960	FRA	11
1964	FRA	31
1968	FRA	27
1972	FRA	22
1976	FRA	20
1980	FRA	29
1984	FRA	68
1988	FRA	29
1992	FRA	57
1996	FRA	51
2000	FRA	66
2004	FRA	53
2008	FRA	76
1896	FRG	0
1900	FRG	0
1904	FRG	0
1908	FRG	0
1912	FRG	0
1920	FRG	0
1924	FRG	0
1928	FRG	0
1932	FRG	0
1936	FRG	0
1948	FRG	0
1952	FRG	0
1956	FRG	0
1960	FRG	0
1964	FRG	0
1968	FRG	49
1972	FRG	96
1976	FRG	75
1980	FRG	0
1984	FRG	157
1988	FRG	113
1992	FRG	0
1996	FRG	0
2000	FRG	0
2004	FRG	0
2008	FRG	0
1896	GBR	7
1900	GBR	78
1904	GBR	2
1908	GBR	347
1912	GBR	160
1920	GBR	107
1924	GBR	66
1928	GBR	55
1932	GBR	34
1936	GBR	36
1948	GBR	56
1952	GBR	31
1956	GBR	45
1960	GBR	28
1964	GBR	28
1968	GBR	18
1972	GBR	29
1976	GBR	32
1980	GBR	45
1984	GBR	72
1988	GBR	53
1992	GBR	50
1996	GBR	26
2000	GBR	55
2004	GBR	57
2008	GBR	77
1896	GDR	0
1900	GDR	0
1904	GDR	0
1908	GDR	0
1912	GDR	0
1920	GDR	0
1924	GDR	0
1928	GDR	0
1932	GDR	0
1936	GDR	0
1948	GDR	0
1952	GDR	0
1956	GDR	0
1960	GDR	0
1964	GDR	0
1968	GDR	51
1972	GDR	148
1976	GDR	192
1980	GDR	260
1984	GDR	0
1988	GDR	174
1992	GDR	0
1996	GDR	0
2000	GDR	0
2004	GDR	0
2008	GDR	0
1896	GEO	0
1900	GEO	0
1904	GEO	0
1908	GEO	0
1912	GEO	0
1920	GEO	0
1924	GEO	0
1928	GEO	0
1932	GEO	0
1936	GEO	0
1948	GEO	0
1952	GEO	0
1956	GEO	0
1960	GEO	0
1964	GEO	0
1968	GEO	0
1972	GEO	0
1976	GEO	0
1980	GEO	0
1984	GEO	0
1988	GEO	0
1992	GEO	0
1996	GEO	2
2000	GEO	6
2004	GEO	4
2008	GEO	6
1896	GER	33
1900	GER	40
1904	GER	13
1908	GER	22
1912	GER	52
1920	GER	0
1924	GER	0
1928	GER	72
1932	GER	38
1936	GER	210
1948	GER	0
1952	GER	40
1956	GER	0
1960	GER	0
1964	GER	0
1968	GER	0
1972	GER	0
1976	GER	0
1980	GER	0
1984	GER	0
1988	GER	0
1992	GER	198
1996	GER	124
2000	GER	119
2004	GER	149
2008	GER	101
1896	GHA	0
1900	GHA	0
1904	GHA	0
1908	GHA	0
1912	GHA	0
1920	GHA	0
1924	GHA	0
1928	GHA	0
1932	GHA	0
1936	GHA	0
1948	GHA	0
1952	GHA	0
1956	GHA	0
1960	GHA	1
1964	GHA	1
1968	GHA	0
1972	GHA	1
1976	GHA	0
1980	GHA	0
1984	GHA	0
1988	GHA	0
1992	GHA	13
1996	GHA	0
2000	GHA	0
2004	GHA	0
2008	GHA	0
1896	GRE	52
1900	GRE	0
1904	GRE	2
1908	GRE	3
1912	GRE	2
1920	GRE	5
1924	GRE	0
1928	GRE	0
1932	GRE	0
1936	GRE	0
1948	GRE	0
1952	GRE	0
1956	GRE	1
1960	GRE	3
1964	GRE	0
1968	GRE	1
1972	GRE	2
1976	GRE	0
1980	GRE	5
1984	GRE	2
1988	GRE	1
1992	GRE	2
1996	GRE	8
2000	GRE	18
2004	GRE	31
2008	GRE	7
1896	GUY	0
1900	GUY	0
1904	GUY	0
1908	GUY	0
1912	GUY	0
1920	GUY	0
1924	GUY	0
1928	GUY	0
1932	GUY	0
1936	GUY	0
1948	GUY	0
1952	GUY	0
1956	GUY	0
1960	GUY	0
1964	GUY	0
1968	GUY	0
1972	GUY	0
1976	GUY	0
1980	GUY	1
1984	GUY	0
1988	GUY	0
1992	GUY	0
1996	GUY	0
2000	GUY	0
2004	GUY	0
2008	GUY	0
1896	HAI	0
1900	HAI	0
1904	HAI	0
1908	HAI	0
1912	HAI	0
1920	HAI	0
1924	HAI	7
1928	HAI	1
1932	HAI	0
1936	HAI	0
1948	HAI	0
1952	HAI	0
1956	HAI	0
1960	HAI	0
1964	HAI	0
1968	HAI	0
1972	HAI	0
1976	HAI	0
1980	HAI	0
1984	HAI	0
1988	HAI	0
1992	HAI	0
1996	HAI	0
2000	HAI	0
2004	HAI	0
2008	HAI	0
1896	HKG	0
1900	HKG	0
1904	HKG	0
1908	HKG	0
1912	HKG	0
1920	HKG	0
1924	HKG	0
1928	HKG	0
1932	HKG	0
1936	HKG	0
1948	HKG	0
1952	HKG	0
1956	HKG	0
1960	HKG	0
1964	HKG	0
1968	HKG	0
1972	HKG	0
